"SL No.","Name","Constituency","State","Party Name"
"402","Shri Kanwar Singh Tanwar","Amroha","Uttar Pradesh","Bharatiya Janata Party"
"403","Shri Dharmendra Kumar","Aonla","Uttar Pradesh","Bharatiya Janata Party"
"404","Shri Mulayam Singh Yadav","Azamgarh","Uttar Pradesh","Samajwadi Party"
"405","Shri Dharmendra Yadav","Badaun","Uttar Pradesh","Samajwadi Party"
"406","Dr. Satya Pal Singh","Baghpat","Uttar Pradesh","Bharatiya Janata Party"
"407","Sushree Sadhvi Savitri Bai Phoole","Bahraich","Uttar Pradesh","Bharatiya Janata Party"
"408","Shri Bharat Singh","Ballia","Uttar Pradesh","Bharatiya Janata Party"
"409","Shri Bhairon Prasad Mishra","Banda","Uttar Pradesh","Bharatiya Janata Party"
"410","Shri Kamlesh Paswan","Bansgaon","Uttar Pradesh","Bharatiya Janata Party"
"411","Smt. Priyanka Singh Rawat","Barabanki","Uttar Pradesh","Bharatiya Janata Party"
"412","Shri Santosh Kumar Gangwar","Bareilly","Uttar Pradesh","Bharatiya Janata Party"
"413","Shri Harish Dwivedi","Basti","Uttar Pradesh","Bharatiya Janata Party"
"414","Shri Virendra Singh","Bhadohi","Uttar Pradesh","Bharatiya Janata Party"
"415","Kunwar Bharatendra Singh","Bijnor","Uttar Pradesh","Bharatiya Janata Party"
"416","Shri Bhola Singh","Bulandshahr","Uttar Pradesh","Bharatiya Janata Party"
"417","Dr. Mahendra Nath Pandey","Chandauli","Uttar Pradesh","Bharatiya Janata Party"
"418","Shri Kalraj Mishra","Deoria","Uttar Pradesh","Bharatiya Janata Party"
"419","Smt. Rekha Arun Verma","Dhaurahra","Uttar Pradesh","Bharatiya Janata Party"
"420","Shri Jagdambika Pal","Domariyaganj","Uttar Pradesh","Bharatiya Janata Party"
"421","Shri Rajveer (Raju Bhaiya) Singh","Etah","Uttar Pradesh","Bharatiya Janata Party"
"422","Shri Ashok Kumar Dohrey","Etawah","Uttar Pradesh","Bharatiya Janata Party"
"423","Shri Lallu Singh","Faizabad","Uttar Pradesh","Bharatiya Janata Party"
"424","Shri Mukesh Rajput","Farrukhabad","Uttar Pradesh","Bharatiya Janata Party"
"425","Shri Babulal Chaudhary","Fatehpur Sikri","Uttar Pradesh","Bharatiya Janata Party"
"426","Sadhvi Niranjan Jyoti","Fatehpur","Uttar Pradesh","Bharatiya Janata Party"
"427","Shri Akshay Yadav","Firozabad","Uttar Pradesh","Samajwadi Party"
"428","Dr. Mahesh Sharma","Gautam Buddha Nagar","Uttar Pradesh","Bharatiya Janata Party"
"429","Vijay Kumar Singh (Retd.) General (Dr.)","Ghaziabad","Uttar Pradesh","Bharatiya Janata Party"
"430","Shri Manoj Kumar Sinha","Ghazipur","Uttar Pradesh","Bharatiya Janata Party"
"431","Shri Hari Narayan Rajbhar","Ghosi","Uttar Pradesh","Bharatiya Janata Party"
"432","Shri Kirti Vardhan Singh","Gonda","Uttar Pradesh","Bharatiya Janata Party"
"433","Shri Praveen Kumar Nishad","Gorakhpur","Uttar Pradesh","Samajwadi Party"
"434","Kunwar Pushpendra Singh Chandel","Hamirpur","Uttar Pradesh","Bharatiya Janata Party"
"435","Shri Anshul Verma","Hardoi","Uttar Pradesh","Bharatiya Janata Party"
"436","Shri Rajesh Kumar Diwakar","Hathras","Uttar Pradesh","Bharatiya Janata Party"
"437","Shri Bhanu Pratap Singh Verma","Jalaun","Uttar Pradesh","Bharatiya Janata Party"
"438","Dr. Krishna Pratap Singh","Jaunpur","Uttar Pradesh","Bharatiya Janata Party"
"439","Uma Bharati Sushree","Jhansi","Uttar Pradesh","Bharatiya Janata Party"
"440","Begum Tabassum Hasan","Kairana","Uttar Pradesh","Rashtriya Lok Dal"
"441","Shri Brijbhushan Sharan Singh","Kaiserganj","Uttar Pradesh","Bharatiya Janata Party"
"442","Smt. Dimple Yadav","Kannauj","Uttar Pradesh","Samajwadi Party"
"443","Dr. Murli Manohar Joshi","Kanpur","Uttar Pradesh","Bharatiya Janata Party"
"444","Shri Vinod Kumar Sonkar","Kaushambi","Uttar Pradesh","Bharatiya Janata Party"
"445","Shri Ajay (Teni) Misra","Kheri","Uttar Pradesh","Bharatiya Janata Party"
"446","Shri Rajesh Pandey","Kushi Nagar","Uttar Pradesh","Bharatiya Janata Party"
"447","Smt. Neelam Sonker","Lalganj","Uttar Pradesh","Bharatiya Janata Party"
"448","Shri Rajnath Singh","Lucknow","Uttar Pradesh","Bharatiya Janata Party"
"449","Shri Ram Charitra Nishad","Machhlishahr","Uttar Pradesh","Bharatiya Janata Party"
"450","Shri Pankaj Chowdhary","Maharajganj","Uttar Pradesh","Bharatiya Janata Party"
"451","Shri Tejpratap Singh Yadav","Mainpuri","Uttar Pradesh","Samajwadi Party"
"452","Smt. Hema Malini","Mathura","Uttar Pradesh","Bharatiya Janata Party"
"453","Shri Rajendra Agrawal","Meerut","Uttar Pradesh","Bharatiya Janata Party"
"454","Smt. Anupriya Patel","Mirzapur","Uttar Pradesh","Apna Dal"
"455","Smt. Anju Bala","Misrikh","Uttar Pradesh","Bharatiya Janata Party"
"456","Shri Kaushal Kishore","Mohanlalganj","Uttar Pradesh","Bharatiya Janata Party"
"457","Shri Kunwar Sarvesh Kumar","Moradabad","Uttar Pradesh","Bharatiya Janata Party"
"458","Dr. Sanjeev Kumar Balyan","Muzaffarnagar","Uttar Pradesh","Bharatiya Janata Party"
"459","Dr. Yashwant Singh","Nagina","Uttar Pradesh","Bharatiya Janata Party"
"460","Shri Nagendra Pratap Singh Patel","Phulpur","Uttar Pradesh","Samajwadi Party"
"461","Smt. Maneka Sanjay Gandhi","Pilibhit","Uttar Pradesh","Bharatiya Janata Party"
"462","Shri Kunwar Haribansh Singh","Pratapgarh","Uttar Pradesh","Apna Dal"
"463","Smt. Sonia Gandhi","Rae Bareli","Uttar Pradesh","Indian National Congress"
"464","Dr. Nepal Singh","Rampur","Uttar Pradesh","Bharatiya Janata Party"
"465","Shri Chhotelal","Robertsganj","Uttar Pradesh","Bharatiya Janata Party"
"466","Shri Raghav Lakhanpal","Saharanpur","Uttar Pradesh","Bharatiya Janata Party"
"467","Shri Ravindra Kushawaha","Salempur","Uttar Pradesh","Bharatiya Janata Party"
"468","Shri Satya Pal Singh","Sambhal","Uttar Pradesh","Bharatiya Janata Party"
"469","Shri Sharad Tripathi","Sant Kabir Nagar","Uttar Pradesh","Bharatiya Janata Party"
"470","Smt. Krishna Raj","Shahjahanpur","Uttar Pradesh","Bharatiya Janata Party"
"471","Shri Daddan Mishra","Shrawasti","Uttar Pradesh","Bharatiya Janata Party"
"472","Shri Rajesh Verma","Sitapur","Uttar Pradesh","Bharatiya Janata Party"
"473","Shri Feroze Varun Gandhi","Sultanpur","Uttar Pradesh","Bharatiya Janata Party"
"474","Dr. Sakshi Ji Swami Maharaj","Unnao","Uttar Pradesh","Bharatiya Janata Party"
"475","Shri Narendra Modi","Varanasi","Uttar Pradesh","Bharatiya Janata Party"
"476","Shri Ajay Tamta","Almora","Uttarakhand","Bharatiya Janata Party"
"477","Maj Gen Bhuwan Chandra AVSM (Retd.) Khanduri","Garhwal","Uttarakhand","Bharatiya Janata Party"
"478","Dr. Ramesh Pokhriyal Nishank","Hardwar","Uttarakhand","Bharatiya Janata Party"
"479","Shri Bhagat Singh Koshyari","Nainital-Udhamsingh Nagar","Uttarakhand","Bharatiya Janata Party"
"480","Smt. Mala Rajya Laxmi Shah","Tehri Garhwal","Uttarakhand","Bharatiya Janata Party"
"481","Shri Dasrath Tirkey","Alipurduars","West Bengal","All India Trinamool Congress"
"482","Smt. Aparupa Poddar","Arambagh","West Bengal","All India Trinamool Congress"
"483","Shri Babul Supriyo","Asansol","West Bengal","Bharatiya Janata Party"
"484","Shri Adhir Ranjan Chowdhury","Baharampur","West Bengal","Indian National Congress"
"485","Ms. Arpita Ghosh","Balurghat","West Bengal","All India Trinamool Congress"
"486","Smt. Mamata Thakur","Bangaon","West Bengal","All India Trinamool Congress"
"487","Smt. Dev (Moon Moon Sen) Varma","Bankura","West Bengal","All India Trinamool Congress"
"488","Dr. (Smt.) Kakoli Ghosh Dastidar","Barasat","West Bengal","All India Trinamool Congress"
"489","Shri Sunil Kumar Mondal","Bardhaman Purba","West Bengal","All India Trinamool Congress"
"490","Prof. (Dr.) Mamtaz Sanghamita","Bardhaman-Durgapur","West Bengal","All India Trinamool Congress"
"491","Shri Dinesh Trivedi","Barrackpur","West Bengal","All India Trinamool Congress"
"492","Shri Idris Ali","Basirhat","West Bengal","All India Trinamool Congress"
"493","Smt. Satabdi Roy (Banerjee)","Birbhum","West Bengal","All India Trinamool Congress"
"494","Shri Khan Saumitra","Bishnupur","West Bengal","All India Trinamool Congress"
"495","Dr. Anupam Hazra","Bolpur","West Bengal","All India Trinamool Congress"
"496","Shri Partha Pratim Ray","Coochbehar","West Bengal","All India Trinamool Congress"
"497","Shri S.S. Ahluwalia","Darjeeling","West Bengal","Bharatiya Janata Party"
"498","Shri Abhishek Banerjee","Diamond Harbour","West Bengal","All India Trinamool Congress"
"499","Prof. Saugata Roy","Dum Dum","West Bengal","All India Trinamool Congress"
"500","Shri Deepak (Dev) Adhikari","Ghatal","West Bengal","All India Trinamool Congress"
"501","Dr. (Smt.) Ratna De(Nag)","Hooghly","West Bengal","All India Trinamool Congress"
"502","Shri Prasun Banerjee","Howrah","West Bengal","All India Trinamool Congress"
"503","Prof. (Dr.) Sugata Bose","Jadavpur","West Bengal","All India Trinamool Congress"
"504","Shri Bijoy Chandra Barman","Jalpaiguri","West Bengal","All India Trinamool Congress"
"505","Dr. Abhijit Mukherjee","Jangipur","West Bengal","Indian National Congress"
"506","Smt. Pratima Mondal","Jaynagar","West Bengal","All India Trinamool Congress"
"507","Dr. Uma Saren","Jhargram","West Bengal","All India Trinamool Congress"
"508","Shri Sisir Kumar Adhikari","Kanthi","West Bengal","All India Trinamool Congress"
"509","Shri Subrata Bakshi","Kolkata Dakshin","West Bengal","All India Trinamool Congress"
"510","Shri Sudip Bandyopadhyay","Kolkata Uttar","West Bengal","All India Trinamool Congress"
"511","Shri Tapas Paul","Krishnanagar","West Bengal","All India Trinamool Congress"
"512","Shri Abu Hasem Khan Choudhury","Maldaha Dakshin","West Bengal","Indian National Congress"
"513","Smt. Mausam Noor","Maldaha Uttar","West Bengal","Indian National Congress"
"514","Shri Choudhury Mohan Jatua","Mathurapur","West Bengal","All India Trinamool Congress"
"515","Smt. Sandhya Roy","Medinipur","West Bengal","All India Trinamool Congress"
"516","Shri Md. Badaruddoza Khan","Murshidabad","West Bengal","Communist Party of India (Marxist)"
"517","Shri George Baker","Nominated Anglo-Indian","West Bengal","Bharatiya Janata Party"
"518","Dr. Mriganka Mahato","Purulia","West Bengal","All India Trinamool Congress"
"519","Shri Mohammad Salim","Raiganj","West Bengal","Communist Party of India (Marxist)"
"520","Dr. Tapas Mandal","Ranaghat","West Bengal","All India Trinamool Congress"
"521","Shri Kalyan Banerjee","Serampore","West Bengal","All India Trinamool Congress"
"522","Shri Dibyendu Adhikari","Tamluk","West Bengal","All India Trinamool Congress"
"523","Smt. Sajda Ahmed","Uluberia","West Bengal","All India Trinamool Congress"
