#,Constituency,Name,Party,Party
10,Singhbhum(ST),Geeta Koda,,
11,Khunti(ST),Arjun Munda,,
12,Lohardaga(ST),Sudarshan Bhagat,,
13,Palamu(SC),Vishnu Dayal Ram,,
14,Hazaribagh,Jayant Sinha,,
1,Chikkodi,Annasaheb Jolle,,Bharatiya Janata Party
2,Belgaum,Suresh Angadi(Died on 23 September 2020)[8],,
Mangala Suresh Angadi(Elected on 2 May 2021),,,,
3,Bagalkot,P. C. Gaddigoudar,,
4,Bijapur(SC),Ramesh Jigajinagi,,
5,Gulbarga(SC),Umesh. G. Jadhav,,
6,Raichur(ST),Raja Amareshwara Naik,,
7,Bidar,Bhagwanth Khuba,,
8,Koppal,Karadi Sanganna Amarappa,,
9,Bellary(ST),Devendrappa,,
10,Haveri,Shivkumar Chanabasappa Udasi,,
11,Dharwad,Pralhad Joshi,,
12,Uttara Kannada,Anant Kumar Hegde,,
13,Davanagere,G. M. Siddeshwara,,
14,Shimoga,B. Y. Raghavendra,,
15,Udupi Chikmagalur,Shobha Karandlaje,,
16,Hassan,Prajwal Revanna,,Janata Dal (Secular)
17,Dakshina Kannada,Nalin Kumar Kateel,,Bharatiya Janata Party
18,Chitradurga(SC),A. Narayanaswamy,,
19,Tumkur,G. S. Basavaraj,,
20,Mandya,Sumalatha Ambareesh,,
21,Mysore,Pratap Simha,,
22,Chamarajanagar(SC),Srinivasa Prasad,,
23,Bangalore Rural,D. K. Suresh,,Indian National Congress
24,Bangalore North,D. V. Sadananda Gowda,,Bharatiya Janata Party
25,Bangalore Central,P. C. Mohan,,
26,Bangalore South,Tejasvi Surya,,
27,Chikballapur,B. N. Bache Gowda,,
28,Kolar(SC),S. Muniswamy,,
1,Kasaragod,Rajmohan Unnithan,,Indian National Congress
2,Kannur,K. Sudhakaran,,
3,Vatakara,K. Muraleedharan,,
4,Wayanad,Rahul Gandhi,,
5,Kozhikode,M. K. Raghavan,,
6,Malappuram,P. K. Kunhalikutty(Resigned on 3 February 2021),,Indian Union Muslim League
M. P. Abdussamad Samadani(Elected on 2 May 2021),,,,
7,Ponnani,E. T. Mohammed Basheer,,
8,Palakkad,V. K. Sreekandan,,Indian National Congress
9,Alathur(SC),Ramya Haridas,,
10,Thrissur,T. N. Prathapan,,
11,Chalakudy,Benny Behanan,,
12,Ernakulam,Hibi Eden,,
13,Idukki,Dean Kuriakose,,
14,Kottayam,Thomas Chazhikadan,,Kerala Congress (M)
15,Alappuzha,A. M. Ariff,,Communist Party of India (Marxist)
16,Mavelikara(SC),Kodikunnil Suresh,,Indian National Congress
17,Pathanamthitta,Anto Antony,,
18,Kollam,N. K. Premachandran,,Revolutionary Socialist Party
19,Attingal,Adoor Prakash,,Indian National Congress
20,Thiruvananthapuram,Shashi Tharoor,,
1,Morena,Narendra Singh Tomar(Resigned on 6 December 2023),,Bharatiya Janata Party
Vacant,Vacant,Vacant,,
2,Bhind(SC),Sandhya Ray,,Bharatiya Janata Party
3,Gwalior,Vivek Shejwalkar,,
4,Guna,Krishna Pal Singh Yadav,,
5,Sagar,Raj Bahadur Singh,,
6,Tikamgarh(SC),Virendra Kumar,,
7,Damoh,Prahlad Singh Patel(Resigned on 6 December 2023),,
Vacant,Vacant,Vacant,,
8,Khajuraho,V. D. Sharma,,Bharatiya Janata Party
9,Satna,Ganesh Singh,,
10,Rewa,Janardan Mishra,,
11,Sidhi,Riti Pathak(Resigned on 6 December 2023),,
Vacant,Vacant,Vacant,,
12,Shahdol(ST),Himadri Singh,,Bharatiya Janata Party
13,Jabalpur,Rakesh Singh(Resigned on 6 December 2023),,
Vacant,Vacant,Vacant,,
14,Mandla(ST),Faggan Singh Kulaste,,Bharatiya Janata Party
15,Balaghat,Dhal Singh Bisen,,
16,Chhindwara,Nakul Nath,,Indian National Congress
17,Hoshangabad,Uday Pratap Singh(Resigned on 6 December 2023),,Bharatiya Janata Party
Vacant,Vacant,Vacant,,
18,Vidisha,Ramakant Bhargava,,Bharatiya Janata Party
19,Bhopal,Pragya Thakur,,
20,Rajgarh,Rodmal Nagar,,
21,Dewas(SC),Mahendra Solanki,,
22,Ujjain(SC),Anil Firojiya,,
23,Mandsour,Sudheer Gupta,,
24,Ratlam(ST),Guman Singh Damor,,
