#,Constituency,Name,Party,Party
56,Bahraich(SC),Akshaibar Lal,,
57,Kaiserganj,Brij Bhushan Sharan Singh,,
58,Shravasti,Ram Shiromani Verma,,Bahujan Samaj Party
59,Gonda,Kirti Vardhan Singh,,Bharatiya Janata Party
60,Domariyaganj,Jagdambika Pal,,
61,Basti,Harish Dwivedi,,
62,Sant Kabir Nagar,Praveen Kumar Nishad,,
63,Maharajganj,Pankaj Choudhary,,
64,Gorakhpur,Ravi Kishan,,
65,Kushinagar,Vijay Kumar Dubey,,
66,Deoria,Ramapati Ram Tripathi,,
67,Bansgaon(SC),Kamlesh Paswan,,
68,Lalganj(SC),Sangeeta Azad,,
69,Azamgarh,Akhilesh Yadav(Resigned on 22 March 2022),,Samajwadi Party
Dinesh Lal Yadav Nirahua(Elected on 26 June 2022),,Bharatiya Janata Party,,
70,Ghosi,Atul Rai,,Bahujan Samaj Party
71,Salempur,Ravindra Kushawaha,,Bharatiya Janata Party
72,Ballia,Virendra Singh Mast,,
73,Jaunpur,Shyam Singh Yadav,,Bahujan Samaj Party
74,Machhlishahr(SC),B. P. Saroj,,Bharatiya Janata Party
75,Ghazipur,Afzal Ansari(disqualified on 1 May 2023),,Bahujan Samaj Party
Vacant,Vacant,Vacant,,
76,Chandauli,Mahendra Nath Pandey,,Bharatiya Janata Party
77,Varanasi,Narendra Modi,,
78,Bhadohi,Ramesh Chand Bind,,
79,Mirzapur,Anupriya Patel,,Apna Dal (Sonelal)
80,Robertsganj(SC),Pakaudi Lal Kol,,
1,Tehri Garhwal,Mala Rajya Laxmi Shah,,Bharatiya Janata Party
2,Garhwal,Tirath Singh Rawat,,
3,Almora(SC),Ajay Tamta,,
4,Nainital–Udhamsingh Nagar,Ajay Bhatt,,
5,Haridwar,Ramesh Pokhriyal,,
1,Cooch Behar(SC),Nisith Pramanik,,Bharatiya Janata Party
2,Alipurduars(ST),John Barla,,
3,Jalpaiguri(SC),Jayanta Kumar Roy,,
4,Darjeeling,Raju Bista,,
5,Raiganj,Debasree Chaudhuri,,
6,Balurghat,Sukanta Majumdar,,
7,Maldaha Uttar,Khagen Murmu,,
8,Maldaha Dakshin,Abu Hasem Khan Choudhury,,Indian National Congress
9,Jangipur,Khalilur Rahaman,,Trinamool Congress
10,Baharampur,Adhir Ranjan Chowdhury,,Indian National Congress
11,Murshidabad,Abu Taher Khan,,Trinamool Congress
12,Krishnanagar,Mahua Moitra(disqualified on 8 December 2023),,
Vacant,Vacant,Vacant,,
13,Ranaghat(SC),Jagannath Sarkar,,Bharatiya Janata Party
14,Bongaon(SC),Shantanu Thakur,,
15,Barrackpore,Arjun singh(Won on BJP ticket. Later joined AITC in 2022.Later he rejoined BJP in 2024),,
16,Dum Dum,Saugata Roy,,Trinamool Congress
17,Barasat,Kakoli Ghosh Dastidar,,
18,Basirhat,Nusrat Jahan,,
19,Jaynagar(SC),Pratima Mondal,,
20,Mathurapur(SC),Choudhury Mohan Jatua,,
21,Diamond Harbour,Abhishek Banerjee,,
22,Jadavpur,Mimi Chakraborty(Resigned on 15 February 2024),,
Vacant,Vacant,Vacant,,
23,Kolkata Dakshin,Mala Roy,,Trinamool Congress
24,Kolkata Uttar,Sudip Bandyopadhyay,,
25,Howrah,Prasun Banerjee,,
26,Uluberia,Sajda Ahmed,,
27,Serampore,Kalyan Banerjee,,
28,Hooghly,Locket Chatterjee,,Bharatiya Janata Party
29,Arambagh(SC),Aparupa Poddar (Afrin Ali),,Trinamool Congress
30,Tamluk,Dibyendu Adhikari,,Bharatiya Janata Party
31,Kanthi,Sisir Adhikari,,Bharatiya Janata Party
32,Ghatal,Deepak Adhikari (Dev),,Trinamool Congress
33,Jhargram(ST),Kunar Hembram,,Trinamool Congress
34,Medinipur,Dilip Ghosh,,Bharatiya Janata Party
35,Purulia,Jyotirmay Singh Mahato,,
36,Bankura,Subhas Sarkar,,
37,Bishnupur(SC),Saumitra Khan,,
38,Bardhaman Purba(SC),Sunil Kumar Mandal,,Trinamool Congress
39,Bardhaman–Durgapur,S. S. Ahluwalia,,Bharatiya Janata Party
40,Asansol,Babul Supriyo(Resigned on 22 October 2021)( Won from BJP ticket but later joined AITC),,
Shatrughan Sinha(Elected on 16 April 2022),,Trinamool Congress,,
41,Bolpur(SC),Asit Kumar Mal,,
42,Birbhum,Satabdi Roy,,
1,Andaman and Nicobar Islands,Kuldeep Rai Sharma,,Indian National Congress
1,Chandigarh,Kirron Kher,,Bharatiya Janata Party
1,Dadra and Nagar Haveli(ST),Mohanbhai Sanjibhai Delkar(Died on 22 February 2021),,Independent
Kalaben Delkar(Elected on 2 November 2021),,Bharatiya Janata Party,,
2,Daman and Diu,Lalubhai Patel,,Bharatiya Janata Party
1,Baramulla,Mohammad Akbar Lone,,Jammu & Kashmir National Conference
2,Srinagar,Farooq Abdullah,,
3,Anantnag,Hasnain Masoodi,,
4,Udhampur,Jitendra Singh,,Bharatiya Janata Party
5,Jammu,Jugal Kishore Sharma,,
1,Ladakh,Jamyang Tsering Namgyal,,Bharatiya Janata Party
1,Lakshadweep(ST),Mohammed Faizal Padippura,,Nationalist Congress Party (Sharadchandra Pawar)
1,Chandni Chowk,Harsh Vardhan,,Bharatiya Janata Party
2,North East Delhi,Manoj Tiwari,,
3,East Delhi,Gautam Gambhir,,
4,New Delhi,Meenakshi Lekhi,,
5,North West Delhi(SC),Hans Raj Hans,,
6,West Delhi,Parvesh Verma,,
7,South Delhi,Ramesh Bidhuri,,
1,Puducherry,V. Vaithilingam,,Indian National Congress
